addr_street;addr_number;addr_building;addr_letter;addr_district;data_buildingdate;param_ukname;repair_years;repair_work_problem;number;lat;lon;data_reconstructiondate;age;index_r;age_norm;age_norm_inv
Байконурская ул.;5;1.0;А;Приморский;1977;"ООО ""Жилкомсервис №3 Приморского района""";2019;Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов;14786;30.350723;59.95935;8.0;41;0.034071305407485666;0.12937062937062938;0.8706293706293706
г.Павловск, Толмачева ул.;3;0.0;А;Пушкинский;1962;"ООО ""Жилкомсервис №2 Пушкинского района""";2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";9635;30.201396000000006;59.828351;4.0;56;0.060067162940792396;0.18181818181818182;0.8181818181818181
Непокоренных пр.;11;0.0;А;Калининский;1951;ООО «Жилкомсервис № 2 Калининского района»;2020;Ремонт конструкций и замена покрытий крыш;11577;30.351998;59.928983;2.0;67;0.09864660886741035;0.2202797202797203;0.7797202797202797
Шишмарёвского пер.;3;1.0;А;Приморский;1951;"ООО ""Жилкомсервис  №2 Приморского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";2238;30.33078;59.998162;4.0;67;0.05459947168207435;0.2202797202797203;0.7797202797202797
Кавалергардская ул.;22;0.0;А;Центральный;1908;"ООО ""Жилкомсервис №3 Центрального района""";2019;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт и восстановление озеленения; Ремонт или восстановление внутридомовых инженерных систем; Капитальный ремонт лифтов (с заменой крупных узлов)";19413;30.318482;59.914953;5.0;110;0.03255137400406126;0.3706293706293706;0.6293706293706294
Пр. Славы;40;1.0;А (пар.1-3);Фрунзенский;1999;"ТСЖ ""СВЕТ""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";1008;30.272012;60.045965;4.0;19;0.10177642122495706;0.05244755244755245;0.9475524475524475
Новоизмайловский пр.;30;2.0;А;Московский;1962;"ООО ""Жилкомсервис № 3 Московского района""";2020;Ремонт или замена системы холодного водоснабжения;6348;30.34032;59.97115;3.0;56;0.0779517621999729;0.18181818181818182;0.8181818181818181
Маршала Жукова пр.;37;3.0;А;Красносельский;1986;"ООО ""Строитель""";2019;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";3709;30.300166;59.916144;8.0;32;0.03917687466470408;0.0979020979020979;0.9020979020979021
Энгельса пр.;151;2.0;А;Выборгский;1976;"Общество с ограниченной ответственностью  ""Жилкомсервис № 2 Выборгского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";3603;30.285227000000006;59.943602;6.0;42;0.0464759250467016;0.13286713286713286;0.8671328671328671
Шлиссельбургский пр.;18;1.0;А;Невский;1989;ЖСК №1292;2020;"Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш";8352;30.134983;59.99926899999999;1.0;29;0.22614312621762628;0.08741258741258741;0.9125874125874126
