Улица;Номер улицы;Строение;Литера;Район;Дата постройки;УК;Ожидаемый год ремонта;Ожидаемая статья ремонта;id;Широта;Долгота;Кол-во ремонтов;Возраст дома;Техническое состояние дома;age_norm;Индекс возраста дома;Адрес;Год ремонта по ГОСТ;Дельта
Байконурская ул.;5;1;А;Приморский;1977;"ООО ""Жилкомсервис №3 Приморского района""";2019;Капитальный ремонт лифтов с частичной заменой оборудования: модернизация лифтов;14786;30.350723;59.95935;8.0;41;0.03407130540748566;0.12937062937062938;0.8706293706293706;Байконурская ул., 5, 1, А;2021.0;2.0
г.Павловск, Толмачева ул.;3;0;А;Пушкинский;1962;"ООО ""Жилкомсервис №2 Пушкинского района""";2020;"Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш";9635;30.20139600000001;59.828351;4.0;56;0.0600671629407924;0.18181818181818185;0.8181818181818181;г.Павловск, Толмачева ул., 3, А;2021.0;1.0
Непокоренных пр.;11;0;А;Калининский;1951;ООО «Жилкомсервис № 2 Калининского района»;2020;Ремонт конструкций и замена покрытий крыш;11577;30.351998;59.928982999999995;2.0;67;0.09864660886741036;0.2202797202797203;0.7797202797202797;Непокоренных пр., 11, А;2021.0;1.0
Шишмарёвского пер.;3;1;А;Приморский;1951;"ООО ""Жилкомсервис  №2 Приморского района""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";2238;30.330779999999997;59.998162;4.0;67;0.05459947168207435;0.2202797202797203;0.7797202797202797;Шишмарёвского пер., 3, 1, А;2024.0;4.0
Кавалергардская ул.;22;0;А;Центральный;1908;"ООО ""Жилкомсервис №3 Центрального района""";2019;"Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы холодного водоснабжения; Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления; Ремонт и восстановление озеленения; Ремонт или восстановление внутридомовых инженерных систем; Капитальный ремонт лифтов (с заменой крупных узлов)";19413;30.318482;59.914953000000004;5.0;110;0.03255137400406126;0.3706293706293706;0.6293706293706294;Кавалергардская ул., 22, А;2021.0;2.0
Пр. Славы;40;1;А (пар.1-3);Фрунзенский;1999;"ТСЖ ""СВЕТ""";2020;"Ремонт конструкций и замена покрытий крыш; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории";1008;30.272012;60.045965;4.0;19;0.10177642122495706;0.05244755244755245;0.9475524475524476;Пр. Славы, 40, 1, А (пар.1-3);2024.0;4.0
Новоизмайловский пр.;30;2;А;Московский;1962;"ООО ""Жилкомсервис № 3 Московского района""";2020;Ремонт или замена системы холодного водоснабжения;6348;30.340320000000002;59.97115;3.0;56;0.0779517621999729;0.18181818181818185;0.8181818181818181;Новоизмайловский пр., 30, 2, А;2024.0;4.0
Маршала Жукова пр.;37;3;А;Красносельский;1986;"ООО ""Строитель""";2019;"Ремонт конструкций и замена покрытий крыш; Ремонт фасада (Герметизация стыков стеновых панелей)";3709;30.300165999999997;59.916143999999996;8.0;32;0.039176874664704084;0.0979020979020979;0.902097902097902;Маршала Жукова пр., 37, 3, А;2027.0;8.0
Энгельса пр.;151;2;А;Выборгский;1976;"Общество с ограниченной ответственностью  ""Жилкомсервис № 2 Выборгского района""";2020;"Ремонт или замена системы холодного водоснабжения; Ремонт фасадов без утепления; Ремонт конструкций и замена покрытий крыш; Ремонт или замена системы отопления";3603;30.28522700000001;59.943602;6.0;42;0.0464759250467016;0.13286713286713284;0.8671328671328671;Энгельса пр., 151, 2, А;2021.0;1.0
Шлиссельбургский пр.;18;1;А;Невский;1989;ЖСК №1292;2020;"Ремонт или замена системы электроснабжения; Ремонт и восстановление озеленения; Асфальтирование и замощение придомовой территории; Ремонт конструкций и замена покрытий крыш";8352;30.134983000000002;59.99926899999999;1.0;29;0.2261431262176263;0.08741258741258741;0.9125874125874126;Шлиссельбургский пр., 18, 1, А;2033.0;13.0
Шлиссельбургский пр.;16;0;А;Невский;1989;"ООО ""Жилкомсервис №2 Невского района""";2020;"Благоустройство придомовой территории; Ремонт и восстановление озеленения";536;30.071696999999997;59.834863;2.0;29;0.146938339446441;0.08741258741258741;0.9125874125874126;Шлиссельбургский пр., 16, А;2027.0;7.0
Средний пр.;35;0;Б;Василеостровский;1917;"ООО "" УК ""МИР""";2020;"Ремонт или замена системы электроснабжения; Расходы на изготовление проектно-сметной документации; Ремонт конструкций и замена покрытий крыш";5133;30.48300900000001;59.90515;2.0;101;0.08006565453316855;0.3391608391608392;0.6608391608391608;Средний пр., 35, Б;2021.0;1.0
Диагональная ул.;8;0;Е;Выборгский;1927;Общество с ограниченной ответственностью Жилкомсервис № 1 Выборгского района;2020;"Ремонт конструкций и замена покрытий крыш; Благоустройство придомовой территории";1552;30.315868;59.939094999999995;4.0;91;0.046111095097409766;0.3041958041958042;0.6958041958041958;Диагональная ул., 8, Е;2021.0;1.0
Дерптский пер.;12;0;А,Б;Адмиралтейский;1906;"ООО ""УК ""Петербургский дом""";2020;"Благоустройство придомовой территории; Капитальный ремонт лифтов с полной  заменой оборудования: реконструкция  лифтов; Ремонт или восстановление ОДС; Асфальтирование и замощение придомовой территории";15110;30.229908000000002;59.838349;2.0;112;0.07585249690188814;0.3776223776223776;0.6223776223776224;Дерптский пер., 12, А,Б;2021.0;1.0
